10.200	8.610	1.860
10.400	10.900	1.860	
10.600	10.900	1.850
10.800	9.090	1.850
11.000	11.100	1.860
11.200	9.330	1.850
11.400	10.700	1.390
11.600	11.200	1.620
11.800	7.720	2.090
12.000	7.960	2.090
12.200	6.810	2.090
12.400	7.280	2.320
12.600	9.140	1.390
12.800	4.960	2.320
13.000	8.690	2.320
13.200	13.800	1.850
13.400	7.770	2.090
13.600	6.150	1.860
13.800	11.200	2.090
14.000	14.700	2.090
14.200	13.600	2.320
14.400	11.500	1.390
14.600	9.670	2.090
14.800	12.700	2.790
15.000	18.000	2.320	
15.200	18.900	2.090
15.400	18.000	2.320
15.600	18.000	1.860
15.800	16.200	2.090
16.000	19.200	1.850
16.200	21.800	2.550
16.400	22.000	1.850
16.600	26.400	2.090
16.800	27.100	2.550
17.000	30.400	3.020
17.200	33.400	3.720
17.400	35.800	2.090
17.600	42.700	2.090
17.800	44.800	3.480	
18.000	55.100	2.550
18.300	62.500	3.480
18.400	70.900	2.320
18.700	74.900	3.250
18.800	83.500	2.780
19.000	85.100	3.720
19.200	87.900	2.090
19.400	90.200	3.250
19.600	93.300	2.780
19.900	93.000	2.780
20.000	88.600	2.550
20.200	86.100	2.790
20.400	78.200	3.020
20.600	78.600	2.790
20.900	83.100	2.550
21.000	76.800	2.780
21.300	70.700	3.020
21.400	64.500	2.320
21.600	64.900	3.250
21.800	62.400	3.020
22.000	59.600	2.550
22.200	52.200	2.550
22.400	49.600	3.020
22.600	48.000	2.550
22.800	42.000	3.250
23.000	44.300	3.020
23.200	39.200	2.780
23.400	36.900	3.020
23.600	34.800	3.720
24.000	37.800	2.090
24.200	30.600	2.320
24.400	36.400	2.320
24.600	30.800	2.550
24.700	29.700	3.250
25.000	27.400	2.780
