	Y			X
	1.76104			659.628
	1.58885			658.625
	1.4604			658.052
	1.32028			657.622
	1.2035			656.905
	1.09841			656.619
	0.946603		656.189
	0.783121		655.616
	0.678025		654.900
	0.53789			654.327
	0.409448		653.754
	0.292675		653.181
	0.164225		652.751
	0.0357749		652.321
	-0.104352		652.178
	-0.197771		651.891
	-0.337898		651.605
	-0.454671		651.318
	-0.606476		651.175
	-0.816667		651.175
	-1.0035			650.602
	-1.16699		650.602
	-1.40053		650.315
	-1.59904		650.172
